party,office,year,topic,share
D,house,2020,Military,0.022524902365016718
D,house,2022,Military,0.02403603177748816
D,house,2024,Military,0.021997726459900384
D,senate,2002,Military,0.039145633509951074
D,senate,2004,Military,0.028235567837561034
D,senate,2006,Military,0.029089300048630258
D,senate,2008,Military,0.038224370689470925
D,senate,2010,Military,0.027218732449477177
D,senate,2012,Military,0.04069217749156795
D,senate,2014,Military,0.019288075175628104
D,senate,2016,Military,0.04039002192269533
D,senate,2018,Military,0.025083262048842304
D,senate,2020,Military,0.030266068516161152
D,senate,2022,Military,0.02151945028395225
D,senate,2024,Military,0.03254109710469899
R,house,2018,Military,0.05159941364856321
R,house,2020,Military,0.0476243995466542
R,house,2022,Military,0.053870709803257526
R,house,2024,Military,0.0535950422942737
R,senate,2002,Military,0.040112966404924996
R,senate,2004,Military,0.041792622542052134
R,senate,2006,Military,0.03606889977388765
R,senate,2008,Military,0.030858057822217032
R,senate,2010,Military,0.024279593047377365
R,senate,2012,Military,0.028274969733825712
R,senate,2014,Military,0.03982192225169324
R,senate,2016,Military,0.035049565362664604
R,senate,2018,Military,0.04512735922763312
R,senate,2020,Military,0.03459456424116136
R,senate,2022,Military,0.04927076021006426
R,senate,2024,Military,0.052088820403001945
D,house,2018,Multiculturalism,0.017249757871312273
D,house,2020,Multiculturalism,0.022747867369723836
D,house,2022,Multiculturalism,0.02315990971955726
D,house,2024,Multiculturalism,0.021347697870217185
D,senate,2002,Multiculturalism,0.009623095104701098
D,senate,2004,Multiculturalism,0.01075578207918041
D,senate,2006,Multiculturalism,0.01263180787273822
D,senate,2008,Multiculturalism,0.007573833712911119
D,senate,2010,Multiculturalism,0.011072823784128709
D,senate,2012,Multiculturalism,0.009849141748550113
D,senate,2014,Multiculturalism,0.01286670648788995
D,senate,2016,Multiculturalism,0.01867168084467512
D,senate,2018,Multiculturalism,0.01228103020709956
D,senate,2020,Multiculturalism,0.02471955443032584
D,senate,2022,Multiculturalism,0.027818069875134736
D,senate,2024,Multiculturalism,0.021347660833382215
R,house,2018,Multiculturalism,0.017745945405671325
R,house,2020,Multiculturalism,0.019918298325460933
R,house,2022,Multiculturalism,0.019654953732968408
R,house,2024,Multiculturalism,0.022125688116779178
R,senate,2002,Multiculturalism,0.02319777323634218
R,senate,2004,Multiculturalism,0.013036987223182033
R,senate,2006,Multiculturalism,0.015753807403574537
R,senate,2008,Multiculturalism,0.017904034398147483
R,senate,2010,Multiculturalism,0.009574596046419423
R,senate,2012,Multiculturalism,0.00903462489542214
R,senate,2014,Multiculturalism,0.014297140006893418
R,senate,2016,Multiculturalism,0.015344977253500754
R,senate,2018,Multiculturalism,0.015621813844717522
R,senate,2020,Multiculturalism,0.015767831263222606
R,senate,2022,Multiculturalism,0.016486957365932566
R,senate,2024,Multiculturalism,0.016889494486556515
D,house,2018,National Way of Life,0.03990630587844962
D,house,2020,National Way of Life,0.03963852738112631
D,house,2022,National Way of Life,0.03417328428906044
D,house,2024,National Way of Life,0.03148810298044317
D,senate,2002,National Way of Life,0.02561248583449565
D,senate,2004,National Way of Life,0.03180999378410151
D,senate,2006,National Way of Life,0.02851334577614516
D,senate,2008,National Way of Life,0.03226820716263712
D,senate,2010,National Way of Life,0.03667202743108054
D,senate,2012,National Way of Life,0.03620455232570757
D,senate,2014,National Way of Life,0.03356866026018759
D,senate,2016,National Way of Life,0.03633293469432157
D,senate,2018,National Way of Life,0.036460458543627165
D,senate,2020,National Way of Life,0.03182482365002814
D,senate,2022,National Way of Life,0.052876053405196195
D,senate,2024,National Way of Life,0.04273150893598458
R,house,2018,National Way of Life,0.048464384009140486
R,house,2020,National Way of Life,0.062125078341098795
R,house,2022,National Way of Life,0.0795702276934576
R,house,2024,National Way of Life,0.06851968472125446
R,senate,2002,National Way of Life,0.04508433703511711
R,senate,2004,National Way of Life,0.03883405381666136
R,senate,2006,National Way of Life,0.06407922701070258
R,senate,2008,National Way of Life,0.05133776513770548
R,senate,2010,National Way of Life,0.04003363736754936
R,senate,2012,National Way of Life,0.04487480938116593
R,senate,2014,National Way of Life,0.048222662357680135
R,senate,2016,National Way of Life,0.055035787833554464
R,senate,2018,National Way of Life,0.06048176340421792
R,senate,2020,National Way of Life,0.04972232526959713
R,senate,2022,National Way of Life,0.08606359362901814
R,senate,2024,National Way of Life,0.06501433236939304
D,house,2018,Other,0.00035676381354587196
D,house,2020,Other,0.0003487561161362489
D,house,2022,Other,0.00035919895188917103
D,house,2024,Other,0.00035103503753831125
D,senate,2002,Other,0.000293414786072325
D,senate,2004,Other,0.0003712894286782762
D,senate,2006,Other,0.0004115103604060675
D,senate,2008,Other,0.0003886182852561721
D,senate,2010,Other,0.0003958712087937017
D,senate,2012,Other,0.00032103935991574
D,senate,2014,Other,0.0003973380272419935
D,senate,2016,Other,0.0003851785668222121
D,senate,2018,Other,0.00034050487455406
D,senate,2020,Other,0.000334510607986992
D,senate,2022,Other,0.00038519133771180894
D,senate,2024,Other,0.0003499127471550106
R,house,2018,Other,0.000379440070063936
R,house,2020,Other,0.00039016068395825745
R,house,2022,Other,0.0003732280471237647
R,house,2024,Other,0.0003682910244911664
R,senate,2002,Other,0.0004445032912261444
R,senate,2004,Other,0.00042986404276429
R,senate,2006,Other,0.00040946788307874885
R,senate,2008,Other,0.00041857522476589564
R,senate,2010,Other,0.000389819947317442
R,senate,2012,Other,0.0004259765487455091
R,senate,2014,Other,0.00046362572641642
R,senate,2016,Other,0.00045986733603671406
R,senate,2018,Other,0.0004024744421975099
R,senate,2020,Other,0.0004221328614305981
R,senate,2022,Other,0.0004016845939153245
R,senate,2024,Other,0.0003574498465715294
D,house,2018,Peace,0.0021763842483750054
D,house,2020,Peace,0.0015665311995865356
D,house,2022,Peace,0.001765948993043932
D,house,2024,Peace,0.0028048449407159586
D,senate,2002,Peace,0.0017746091717143883
D,senate,2004,Peace,0.002425141202065514
D,senate,2006,Peace,0.0074669341949656865
D,senate,2008,Peace,0.0055767748996827845
D,senate,2010,Peace,0.001993302729634464
D,senate,2012,Peace,0.0020078011631032987
D,senate,2014,Peace,0.0017371458798200086
D,senate,2016,Peace,0.0020426111100377985
D,senate,2018,Peace,0.003639409344083428
D,senate,2020,Peace,0.0018198765722098854
D,senate,2022,Peace,0.001973173956590545
D,senate,2024,Peace,0.0036244901712769607
R,house,2018,Peace,0.002045376009617673
R,house,2020,Peace,0.0019267167800427584
R,house,2022,Peace,0.002056577359714413
R,house,2024,Peace,0.0037619661394801907
R,senate,2002,Peace,0.0030018471128627445
R,senate,2004,Peace,0.00240073384151337
R,senate,2006,Peace,0.002596059306014822
R,senate,2008,Peace,0.002252684442859626
R,senate,2010,Peace,0.0022260402684039535
R,senate,2012,Peace,0.0017577192824021449
R,senate,2014,Peace,0.001997815820153478
R,senate,2016,Peace,0.0021410712660789406
R,senate,2018,Peace,0.0020612363788658525
R,senate,2020,Peace,0.0016494376053825465
R,senate,2022,Peace,0.002435701302957188
R,senate,2024,Peace,0.0022211875785435563
D,house,2018,Political Authority,0.08904934304220181
D,house,2020,Political Authority,0.06339050366001117
D,house,2022,Political Authority,0.051155230560973236
D,house,2024,Political Authority,0.048371031199566525
D,senate,2002,Political Authority,0.0542443450277983
D,senate,2004,Political Authority,0.20218576059132573
D,senate,2006,Political Authority,0.22347810392305925
D,senate,2008,Political Authority,0.17894648461934998
D,senate,2010,Political Authority,0.11791137660357147
D,senate,2012,Political Authority,0.11760692788261702
D,senate,2014,Political Authority,0.11770171313083763
D,senate,2016,Political Authority,0.09072705576188879
D,senate,2018,Political Authority,0.08094818151460716
D,senate,2020,Political Authority,0.0524284409429148
D,senate,2022,Political Authority,0.05907134130733588
D,senate,2024,Political Authority,0.051440006674282834
R,house,2018,Political Authority,0.12217233824483925
R,house,2020,Political Authority,0.10603446995024556
R,house,2022,Political Authority,0.10094202848816757
R,house,2024,Political Authority,0.09106011223530701
R,senate,2002,Political Authority,0.10564845392209625
R,senate,2004,Political Authority,0.16563484207409165
R,senate,2006,Political Authority,0.11806529368088257
R,senate,2008,Political Authority,0.16654411026386112
R,senate,2010,Political Authority,0.18063566037016668
R,senate,2012,Political Authority,0.1663748381767471
R,senate,2014,Political Authority,0.1553462466744624
R,senate,2016,Political Authority,0.15078269958125254
R,senate,2018,Political Authority,0.13245737121832057
R,senate,2020,Political Authority,0.11065951039037529
R,senate,2022,Political Authority,0.10902321720066689
R,senate,2024,Political Authority,0.06954345029648219
D,house,2018,Political Corruption,0.012161827003984677
D,house,2020,Political Corruption,0.010368043928302009
D,house,2022,Political Corruption,0.007850107168366028
D,house,2024,Political Corruption,0.01008657785071238
D,senate,2002,Political Corruption,0.003196807841837025
D,senate,2004,Political Corruption,0.006429267911604028
D,senate,2006,Political Corruption,0.01583999363114668
D,senate,2008,Political Corruption,0.014382667826434502
D,senate,2010,Political Corruption,0.038827630403511844
D,senate,2012,Political Corruption,0.00784923118920553
D,senate,2014,Political Corruption,0.00818006429914235
D,senate,2016,Political Corruption,0.020712818136863067
D,senate,2018,Political Corruption,0.029193929646977444
D,senate,2020,Political Corruption,0.01689507133892573
D,senate,2022,Political Corruption,0.01134359370471676
D,senate,2024,Political Corruption,0.010438485122472314
R,house,2018,Political Corruption,0.010437625461253975
R,house,2020,Political Corruption,0.014317953430829573
R,house,2022,Political Corruption,0.007392460890813844
R,house,2024,Political Corruption,0.009696678484052548
R,senate,2002,Political Corruption,0.008836711195279344
R,senate,2004,Political Corruption,0.020059008032622595
R,senate,2006,Political Corruption,0.013151630052969529
R,senate,2008,Political Corruption,0.021580440692711533
R,senate,2010,Political Corruption,0.010506897402497635
R,senate,2012,Political Corruption,0.01375480954229493
R,senate,2014,Political Corruption,0.0169278253425443
R,senate,2016,Political Corruption,0.0052919671568158275
R,senate,2018,Political Corruption,0.009475454765984971
R,senate,2020,Political Corruption,0.00990023968235415
R,senate,2022,Political Corruption,0.00721321454439121
R,senate,2024,Political Corruption,0.006480003512702312
D,house,2018,Protectionism,0.003676413019758977
D,house,2020,Protectionism,0.0030007389278883185
D,house,2022,Protectionism,0.003843126810463408
D,house,2024,Protectionism,0.002360807365970171
D,senate,2002,Protectionism,0.0038748677084992
D,senate,2004,Protectionism,0.003170791984363881
D,senate,2006,Protectionism,0.002644526817675125
D,senate,2008,Protectionism,0.005311143204024803
D,senate,2010,Protectionism,0.00414415988279164
D,senate,2012,Protectionism,0.003599690095056687
D,senate,2014,Protectionism,0.006001911822229604
D,senate,2016,Protectionism,0.0034559625384472563
D,senate,2018,Protectionism,0.00327159336760362
D,senate,2020,Protectionism,0.002778014310514215
D,senate,2022,Protectionism,0.003511339741132837
D,senate,2024,Protectionism,0.0031498690713854744
R,house,2018,Protectionism,0.0041401474846893905
R,house,2020,Protectionism,0.003973272223287698
R,house,2022,Protectionism,0.004214392391571133
R,house,2024,Protectionism,0.004098617995404989
R,senate,2002,Protectionism,0.0016899538626987
R,senate,2004,Protectionism,0.0035321463041381703
R,senate,2006,Protectionism,0.0031404653627376336
R,senate,2008,Protectionism,0.0036377793744169678
R,senate,2010,Protectionism,0.004250431246232585
R,senate,2012,Protectionism,0.00528988554471761
R,senate,2014,Protectionism,0.00352192762724672
R,senate,2016,Protectionism,0.003625883064303211
R,senate,2018,Protectionism,0.005947293815745751
R,senate,2020,Protectionism,0.0036733126962526044
R,senate,2022,Protectionism,0.005798954584224114
R,senate,2024,Protectionism,0.006034293164399856
D,house,2018,Social Groups,0.09514459755392973
D,house,2020,Social Groups,0.09805621399888385
D,house,2022,Social Groups,0.08525322550773212
D,house,2024,Social Groups,0.07726028055539096
D,senate,2002,Social Groups,0.11012180637088065
D,senate,2004,Social Groups,0.08354000790572609
D,senate,2006,Social Groups,0.07978261781296472
D,senate,2008,Social Groups,0.0924433499139484
D,senate,2010,Social Groups,0.0632359496173575
D,senate,2012,Social Groups,0.07513583922228408
D,senate,2014,Social Groups,0.08460734306585603
D,senate,2016,Social Groups,0.11097132183211081
D,senate,2018,Social Groups,0.08658591184499276
D,senate,2020,Social Groups,0.10612951572811917
D,senate,2022,Social Groups,0.07682236064846606
D,senate,2024,Social Groups,0.07618943466153992
R,house,2018,Social Groups,0.08663456970897346
R,house,2020,Social Groups,0.09708034375184327
R,house,2022,Social Groups,0.07986992050536114
R,house,2024,Social Groups,0.07871408261284003
R,senate,2002,Social Groups,0.10925977290461784
R,senate,2004,Social Groups,0.06031616100186079
R,senate,2006,Social Groups,0.06430036616297487
R,senate,2008,Social Groups,0.086695404201578
R,senate,2010,Social Groups,0.047034179740248594
R,senate,2012,Social Groups,0.04557775064334493
R,senate,2014,Social Groups,0.07169173675506399
R,senate,2016,Social Groups,0.08992834905606632
R,senate,2018,Social Groups,0.07919215630483285
R,senate,2020,Social Groups,0.08477290027301307
R,senate,2022,Social Groups,0.07218725496218753
R,senate,2024,Social Groups,0.0719475928221387
D,house,2018,Sustainability,0.012983964055834463
D,house,2020,Sustainability,0.014999258725076388
D,house,2022,Sustainability,0.017943027147220722
D,house,2024,Sustainability,0.0157937834433134
D,senate,2002,Sustainability,0.018462873898641905
D,senate,2004,Sustainability,0.019438925173160676
D,senate,2006,Sustainability,0.016900476298136367
D,senate,2008,Sustainability,0.024967561341001837
D,senate,2010,Sustainability,0.0126496839686079
D,senate,2012,Sustainability,0.013632817215492874
D,senate,2014,Sustainability,0.014266286920459415
D,senate,2016,Sustainability,0.008338161348442898
D,senate,2018,Sustainability,0.02282739710732219
D,senate,2020,Sustainability,0.015361302526426176
D,senate,2022,Sustainability,0.016162102038788095
D,senate,2024,Sustainability,0.01942750380387161
R,house,2018,Sustainability,0.009149389925160428
R,house,2020,Sustainability,0.007886104143912859
R,house,2022,Sustainability,0.007913242209595703
R,house,2024,Sustainability,0.010034476199836925
R,senate,2002,Sustainability,0.006558950702405789
R,senate,2004,Sustainability,0.010998371431672491
R,senate,2006,Sustainability,0.015984649134495894
R,senate,2008,Sustainability,0.012252682485324861
R,senate,2010,Sustainability,0.008931843868358175
R,senate,2012,Sustainability,0.007863529108874103
R,senate,2014,Sustainability,0.01432723376896467
R,senate,2016,Sustainability,0.00785463803692516
R,senate,2018,Sustainability,0.007830819439989149
R,senate,2020,Sustainability,0.006958175404105159
R,senate,2022,Sustainability,0.007641375511267431
R,senate,2024,Sustainability,0.015829289686320528
D,house,2018,Technology and Infrastructure,0.024821371116843554
D,house,2020,Technology and Infrastructure,0.023440696892540566
D,house,2022,Technology and Infrastructure,0.030056401970304944
D,house,2024,Technology and Infrastructure,0.034239608154817885
D,senate,2002,Technology and Infrastructure,0.018523573774892724
D,senate,2004,Technology and Infrastructure,0.015570968752624542
D,senate,2006,Technology and Infrastructure,0.03454924746747249
D,senate,2008,Technology and Infrastructure,0.03778945757584541
D,senate,2010,Technology and Infrastructure,0.04196858812199124
D,senate,2012,Technology and Infrastructure,0.028260539494875697
D,senate,2014,Technology and Infrastructure,0.030963682676175577
D,senate,2016,Technology and Infrastructure,0.015794141466157735
D,senate,2018,Technology and Infrastructure,0.021637890462496912
D,senate,2020,Technology and Infrastructure,0.026363751821914794
D,senate,2022,Technology and Infrastructure,0.036366358407176544
D,senate,2024,Technology and Infrastructure,0.03327724610316217
R,house,2018,Technology and Infrastructure,0.02023373990190705
R,house,2020,Technology and Infrastructure,0.021074629551827453
R,house,2022,Technology and Infrastructure,0.022735333052804785
R,house,2024,Technology and Infrastructure,0.0255679367170022
R,senate,2002,Technology and Infrastructure,0.025430872636595013
R,senate,2004,Technology and Infrastructure,0.021548382216712052
R,senate,2006,Technology and Infrastructure,0.03005866421746669
R,senate,2008,Technology and Infrastructure,0.027904406225412088
R,senate,2010,Technology and Infrastructure,0.015468767043033542
R,senate,2012,Technology and Infrastructure,0.012977456424056021
R,senate,2014,Technology and Infrastructure,0.01538803875933269
R,senate,2016,Technology and Infrastructure,0.020955383491134946
R,senate,2018,Technology and Infrastructure,0.01594878669238758
R,senate,2020,Technology and Infrastructure,0.02644892596830036
R,senate,2022,Technology and Infrastructure,0.021260279363916616
R,senate,2024,Technology and Infrastructure,0.043234909773295915
D,house,2018,Traditional Morality,0.02672393305707377
D,house,2020,Traditional Morality,0.02496846000959725
D,house,2022,Traditional Morality,0.031248581810305993
D,house,2024,Traditional Morality,0.039178767747378176
D,senate,2002,Traditional Morality,0.0208115974658263
D,senate,2004,Traditional Morality,0.023446616221321846
D,senate,2006,Traditional Morality,0.02493495868129878
D,senate,2008,Traditional Morality,0.015177469490925816
D,senate,2010,Traditional Morality,0.024530661738383357
D,senate,2012,Traditional Morality,0.02345730646179194
D,senate,2014,Traditional Morality,0.022004548070352327
D,senate,2016,Traditional Morality,0.027787812469849738
D,senate,2018,Traditional Morality,0.022180202119209617
D,senate,2020,Traditional Morality,0.024447004105177417
D,senate,2022,Traditional Morality,0.04190225228819335
D,senate,2024,Traditional Morality,0.04399272626379517
R,house,2018,Traditional Morality,0.03605027786381553
R,house,2020,Traditional Morality,0.04398408139511677
R,house,2022,Traditional Morality,0.0490276091483888
R,house,2024,Traditional Morality,0.04797523856795268
R,senate,2002,Traditional Morality,0.030035268858501243
R,senate,2004,Traditional Morality,0.07027569586344962
R,senate,2006,Traditional Morality,0.033563794013431514
R,senate,2008,Traditional Morality,0.033908524918353077
R,senate,2010,Traditional Morality,0.02379176216304969
R,senate,2012,Traditional Morality,0.03315064021036413
R,senate,2014,Traditional Morality,0.044271867523532946
R,senate,2016,Traditional Morality,0.035517005962506135
R,senate,2018,Traditional Morality,0.030841378755542267
R,senate,2020,Traditional Morality,0.04305570260843993
R,senate,2022,Traditional Morality,0.053900691798414495
R,senate,2024,Traditional Morality,0.04415845606368611
D,house,2018,Welfare State,0.0995060436708948
D,house,2020,Welfare State,0.14695328828713378
D,house,2022,Welfare State,0.14357560856248935
D,house,2024,Welfare State,0.14284882088382062
D,senate,2002,Welfare State,0.09079420763138588
D,senate,2004,Welfare State,0.08685644157953522
D,senate,2006,Welfare State,0.05798695135854694
D,senate,2008,Welfare State,0.06119570171647949
D,senate,2010,Welfare State,0.054533217665592874
D,senate,2012,Welfare State,0.048638041058028936
D,senate,2014,Welfare State,0.10389770230436385
D,senate,2016,Welfare State,0.08240833318235749
D,senate,2018,Welfare State,0.14364995281879664
D,senate,2020,Welfare State,0.14681755453852943
D,senate,2022,Welfare State,0.09035779530404088
D,senate,2024,Welfare State,0.12012542542988565
R,house,2018,Welfare State,0.052085185487391675
R,house,2020,Welfare State,0.05379909344551106
R,house,2022,Welfare State,0.03724663146153082
R,house,2024,Welfare State,0.04669831255232176
R,senate,2002,Welfare State,0.03210214413775896
R,senate,2004,Welfare State,0.026620322317294443
R,senate,2006,Welfare State,0.02789318307002345
R,senate,2008,Welfare State,0.03089247913068758
R,senate,2010,Welfare State,0.033027365521679335
R,senate,2012,Welfare State,0.022738309840999265
R,senate,2014,Welfare State,0.03560952052070651
R,senate,2016,Welfare State,0.030600005910960574
R,senate,2018,Welfare State,0.04399165461825711
R,senate,2020,Welfare State,0.06612912729723022
R,senate,2022,Welfare State,0.03501409477084726
R,senate,2024,Welfare State,0.04966417802572753
